ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;10;8;3,8;334;0;8,1;;;;;;;;;
2007;1;10;9;3,5;336;0;7,8;;;;;;;;;
2007;1;10;10;3,9;9;0;7,7;;;;;;;;;
2007;1;10;11;2,2;355;0;8,3;;;;;;;;;
2007;1;10;12;3,5;25;0;7;;;;;;;;;
2007;1;10;13;4,9;39;0;9,4;;;;;;;;;
2007;1;10;14;4;58;0;9,6;;;;;;;;;
2007;1;10;15;3,6;52;0;8,7;;;;;;;;;
2007;1;10;16;3,9;43;0;8,7;;;;;;;;;
2007;1;10;17;3,8;40;0;9,4;;;;;;;;;
2007;1;10;18;3,7;24;0;9,4;;;;;;;;;
2007;1;10;19;2,9;18;0;7,8;;;;;;;;;
2007;1;10;20;3,1;22;0;6,5;;;;;;;;;
2007;1;10;21;1,6;42;0;5,9;;;;;;;;;
2007;1;10;22;2,6;18;0;6,1;;;;;;;;;
2007;1;10;23;2,5;15;0;5,9;;;;;;;;;
2007;1;11;0;1,3;349;0;4,9;;;;;;;;;
2007;1;11;1;3,1;22;0;5,7;;;;;;;;;
2007;1;11;2;1,3;358;0;5,5;;;;;;;;;
2007;1;11;3;1,1;355;0;2,5;;;;;;;;;
2007;1;11;4;1,7;322;0;6,1;;;;;;;;;
2007;1;11;5;2;313;0;3,7;;;;;;;;;
2007;1;11;6;2,5;38;0;5;;;;;;;;;
2007;1;11;7;2,9;13;0;6,5;;;;;;;;;
2007;1;11;8;3;17;0;6,8;;;;;;;;;
2007;1;11;9;2;341;0;6,8;;;;;;;;;
2007;1;11;10;2,3;335;0;5,3;;;;;;;;;
2007;1;11;11;2,8;17;0;7,5;;;;;;;;;
2007;1;11;12;4,1;35;0;8,7;;;;;;;;;
2007;1;11;13;4,1;48;0;8,8;;;;;;;;;
2007;1;11;14;3,5;43;0;8,3;;;;;;;;;
2007;1;11;15;3,3;36;2,4;8;;;;;;;;;
2007;1;11;16;2,1;46;0;7,6;;;;;;;;;
2007;1;11;17;2,8;37;0;7,1;;;;;;;;;
2007;1;11;18;2,8;39;0;8,8;;;;;;;;;
2007;1;11;19;1,8;15;0;5,9;;;;;;;;;
2007;1;11;20;1,3;32;0;4;;;;;;;;;
2007;1;11;21;2,1;30;0;4,4;;;;;;;;;
2007;1;11;22;2,2;26;0;5,7;;;;;;;;;
2007;1;11;23;1,9;12;0;4,5;;;;;;;;;
2007;1;12;0;2,4;23;0;5,3;;;;;;;;;
2007;1;12;1;1,3;346;0;5,3;;;;;;;;;
2007;1;12;2;2,2;5;0;5,5;;;;;;;;;
2007;1;12;3;1,6;356;0;4,9;;;;;;;;;
2007;1;12;4;2,9;331;0;6,7;;;;;;;;;
2007;1;12;5;2,8;13;0;6,7;;;;;;;;;
2007;1;12;6;2,8;21;0;6,3;;;;;;;;;
2007;1;12;7;3,7;10;0;7,3;;;;;;;;;
2007;1;12;8;3,5;356;0;9,2;;;;;;;;;
2007;1;12;9;4,4;11;0;9,2;;;;;;;;;
